Ho Ten,Quan Ham,He So,Luong Co Ban,Phu Cap,Thuong,THUC LINH,Trang Thai
Đặng Ngoc Khánh,Đại Úy,2.33999991416931,2340000,0,0,5475600,Đã lưu
Nguyễn Quốc Tiến,Thượng úy,5,2340000,0,0,11700000,Đã lưu
Hồ Sĩ Vinh,Binh nhất,2.33999991416931,2340000,0,0,5475600,Đã lưu
Nguyễn Tô Khang Vinh,Trung tướng,9.19999980926514,2340000,0,0,21528000,Đã lưu
Tống Văn Đông,Thượng úy,5,2340000,0,0,11700000,Đã lưu
Đặng Nhãn,Hạ sĩ,3.20000004768372,2340000,0,0,7488000,Đã lưu
Nguyễn Văn Minh,Thượng úy,5,2340000,0,0,11700000,Đã lưu
Trịnh Huy Hoàng,Đại tướng,10.3999996185303,2340000,0,0,24336000,Đã lưu
Trường Hi Cao,Thượng úy,5,2340000,0,0,11700000,Đã lưu
Nguyến Văn Nguyên,Binh nhất,2.33999991416931,2340000,0,0,5475600,Đã lưu
Đặng Văn Thành,Trung sĩ,3.5,2340000,0,0,8190000,Đã lưu
BÙI XUÂN THUẬN,Đại úy,5.40000009536743,2340000,0,0,12636000,Đã lưu
